Unnamed: 0.1,Unnamed: 0,User_ID,Latitude,Longitude,Date,Time,hour,minute,day,month,weekday,is_weekend,previous_latitude,previous_longitude,distance,speed,Cluster,Anomaly,Anomaly_Label
35,35,USER_001,19.03220879547007,72.8556297838077,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,,,0.0,0.0,2,-1,Anomaly
43,43,USER_001,19.025147875125,72.84786464642366,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,19.03220879547007,72.8556297838077,0.0104954254183637,0.0104954254183637,2,1,Normal
416,416,USER_001,19.113094869550697,72.88895267510316,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,19.025147875125,72.84786464642366,0.0970716226776936,0.0970716226776936,0,1,Normal
71,71,USER_001,19.04944488920696,72.8585097728602,2026-09-15,2026-09-15 06:02:00,6,2,15,9,1,0,19.113094869550697,72.88895267510316,0.0705555830160311,0.0705555830160311,2,1,Normal
368,368,USER_001,19.028786649914483,72.85506269312093,2026-09-15,2026-09-15 06:12:00,6,12,15,9,1,0,19.04944488920696,72.8585097728602,0.0209438585125601,0.0209438585125601,2,1,Normal
244,244,USER_001,19.057772594744016,72.90365648132924,2026-09-15,2026-09-15 06:13:00,6,13,15,9,1,0,19.028786649914483,72.85506269312093,0.0565821637099057,0.0565821637099057,4,1,Normal
144,144,USER_001,19.022636697449727,72.85764633668781,2026-09-15,2026-09-15 06:17:00,6,17,15,9,1,0,19.057772594744016,72.90365648132924,0.0578918361135661,0.0578918361135661,2,1,Normal
196,196,USER_001,19.116799406650426,72.89109524788368,2026-09-15,2026-09-15 06:19:00,6,19,15,9,1,0,19.022636697449727,72.85764633668781,0.0999272008224236,0.0999272008224236,0,1,Normal
146,146,USER_001,19.026351182959,72.8236821867636,2026-09-15,2026-09-15 06:20:00,6,20,15,9,1,0,19.116799406650426,72.89109524788368,0.112806923451149,0.112806923451149,2,-1,Anomaly
211,211,USER_001,19.109966744529217,72.88241015441818,2026-09-15,2026-09-15 06:22:00,6,22,15,9,1,0,19.026351182959,72.8236821867636,0.1021789426522879,0.1021789426522879,0,1,Normal
65,65,USER_001,19.063439436551043,72.85500784076947,2026-09-15,2026-09-15 06:27:00,6,27,15,9,1,0,19.109966744529217,72.88241015441818,0.0539970108524349,0.0539970108524349,1,1,Normal
252,252,USER_001,19.05392712458962,72.87694435177636,2026-09-15,2026-09-15 06:27:00,6,27,15,9,1,0,19.063439436551043,72.85500784076947,0.0239101358006727,0.0239101358006727,1,1,Normal
458,458,USER_001,19.0279419368989,72.82856582495965,2026-09-15,2026-09-15 06:35:00,6,35,15,9,1,0,19.05392712458962,72.87694435177636,0.0549154972323544,0.0549154972323544,2,1,Normal
484,484,USER_001,19.077516335049665,72.8679354440138,2026-09-15,2026-09-15 06:35:00,6,35,15,9,1,0,19.0279419368989,72.82856582495965,0.0633055120544732,0.0633055120544732,1,1,Normal
217,217,USER_001,19.09885972112245,72.83516748797328,2026-09-15,2026-09-15 06:36:00,6,36,15,9,1,0,19.077516335049665,72.8679354440138,0.0391059979047355,0.0391059979047355,3,1,Normal
205,205,USER_001,19.040500181005324,72.85792285849638,2026-09-15,2026-09-15 06:39:00,6,39,15,9,1,0,19.09885972112245,72.83516748797328,0.0626389879414264,0.0626389879414264,2,1,Normal
419,419,USER_001,19.080495392269054,72.85181115536182,2026-09-15,2026-09-15 06:40:00,6,40,15,9,1,0,19.040500181005324,72.85792285849638,0.0404594839220101,0.0404594839220101,3,1,Normal
89,89,USER_001,19.060895294441423,72.8373294320071,2026-09-15,2026-09-15 06:46:00,6,46,15,9,1,0,19.080495392269054,72.85181115536182,0.0243697383280032,0.0243697383280032,2,1,Normal
54,54,USER_001,19.071663589127105,72.84608291748305,2026-09-15,2026-09-15 06:47:00,6,47,15,9,1,0,19.060895294441423,72.8373294320071,0.0138773080392186,0.0138773080392186,3,1,Normal
426,426,USER_001,19.089546720668988,72.85885581012704,2026-09-15,2026-09-15 06:48:00,6,48,15,9,1,0,19.071663589127105,72.84608291748305,0.0219761957635819,0.0219761957635819,3,1,Normal
70,70,USER_001,19.116665481904366,72.91636199770893,2026-09-15,2026-09-15 06:51:00,6,51,15,9,1,0,19.089546720668988,72.85885581012704,0.0635797831165328,0.0635797831165328,0,1,Normal
134,134,USER_001,19.04168091065865,72.84944939468394,2026-09-15,2026-09-15 06:52:00,6,52,15,9,1,0,19.116665481904366,72.91636199770893,0.1004986684910992,0.1004986684910992,2,1,Normal
