,Unnamed: 0,User_ID,Latitude,Longitude,Date,Time,hour,minute,day,month,weekday,is_weekend,previous_latitude,previous_longitude,distance,speed
35,35,USER_001,19.03220879547007,72.8556297838077,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,,,0.0,0.0
43,43,USER_001,19.025147875125,72.84786464642366,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,19.03220879547007,72.8556297838077,0.010495425418363782,0.010495425418363782
416,416,USER_001,19.113094869550697,72.88895267510316,2026-09-15,2026-09-15 06:00:00,6,0,15,9,1,0,19.025147875125,72.84786464642366,0.09707162267769368,0.09707162267769368
71,71,USER_001,19.04944488920696,72.8585097728602,2026-09-15,2026-09-15 06:02:00,6,2,15,9,1,0,19.113094869550697,72.88895267510316,0.07055558301603118,0.07055558301603118
368,368,USER_001,19.028786649914483,72.85506269312093,2026-09-15,2026-09-15 06:12:00,6,12,15,9,1,0,19.04944488920696,72.8585097728602,0.02094385851256014,0.02094385851256014
244,244,USER_001,19.057772594744016,72.90365648132924,2026-09-15,2026-09-15 06:13:00,6,13,15,9,1,0,19.028786649914483,72.85506269312093,0.05658216370990576,0.05658216370990576
144,144,USER_001,19.022636697449727,72.85764633668781,2026-09-15,2026-09-15 06:17:00,6,17,15,9,1,0,19.057772594744016,72.90365648132924,0.05789183611356611,0.05789183611356611
196,196,USER_001,19.116799406650426,72.89109524788368,2026-09-15,2026-09-15 06:19:00,6,19,15,9,1,0,19.022636697449727,72.85764633668781,0.09992720082242366,0.09992720082242366
146,146,USER_001,19.026351182959,72.8236821867636,2026-09-15,2026-09-15 06:20:00,6,20,15,9,1,0,19.116799406650426,72.89109524788368,0.11280692345114904,0.11280692345114904
211,211,USER_001,19.109966744529217,72.88241015441818,2026-09-15,2026-09-15 06:22:00,6,22,15,9,1,0,19.026351182959,72.8236821867636,0.10217894265228795,0.10217894265228795
65,65,USER_001,19.063439436551043,72.85500784076947,2026-09-15,2026-09-15 06:27:00,6,27,15,9,1,0,19.109966744529217,72.88241015441818,0.053997010852434905,0.053997010852434905
252,252,USER_001,19.05392712458962,72.87694435177636,2026-09-15,2026-09-15 06:27:00,6,27,15,9,1,0,19.063439436551043,72.85500784076947,0.023910135800672794,0.023910135800672794
458,458,USER_001,19.0279419368989,72.82856582495965,2026-09-15,2026-09-15 06:35:00,6,35,15,9,1,0,19.05392712458962,72.87694435177636,0.05491549723235449,0.05491549723235449
484,484,USER_001,19.077516335049665,72.8679354440138,2026-09-15,2026-09-15 06:35:00,6,35,15,9,1,0,19.0279419368989,72.82856582495965,0.0633055120544732,0.0633055120544732
217,217,USER_001,19.09885972112245,72.83516748797328,2026-09-15,2026-09-15 06:36:00,6,36,15,9,1,0,19.077516335049665,72.8679354440138,0.03910599790473551,0.03910599790473551
205,205,USER_001,19.040500181005324,72.85792285849638,2026-09-15,2026-09-15 06:39:00,6,39,15,9,1,0,19.09885972112245,72.83516748797328,0.06263898794142647,0.06263898794142647
419,419,USER_001,19.080495392269054,72.85181115536182,2026-09-15,2026-09-15 06:40:00,6,40,15,9,1,0,19.040500181005324,72.85792285849638,0.0404594839220101,0.0404594839220101
89,89,USER_001,19.060895294441423,72.8373294320071,2026-09-15,2026-09-15 06:46:00,6,46,15,9,1,0,19.080495392269054,72.85181115536182,0.02436973832800321,0.02436973832800321
54,54,USER_001,19.071663589127105,72.84608291748305,2026-09-15,2026-09-15 06:47:00,6,47,15,9,1,0,19.060895294441423,72.8373294320071,0.013877308039218656,0.013877308039218656
